filing_year,filing_month,pub_year,pub_month,grant_year,grant_month,assignee_name,patent_count,parent_company,filing_date,pub_date,grant_date,pub_before_filing,grant_before_filing,grant_before_pub,date_inconsistent
2011,3,2012,1,0,0,1MICROSOFT CORP,1,Microsoft,2011-03-01,2012-01-01,NA,FALSE,FALSE,FALSE,FALSE
2011,3,2011,9,0,0,1MICROSOFT CORP,1,Microsoft,2011-03-01,2011-09-01,NA,FALSE,FALSE,FALSE,FALSE
2011,10,2012,6,0,0,1MICROSOFT CORP,1,Microsoft,2011-10-01,2012-06-01,NA,FALSE,FALSE,FALSE,FALSE
2011,10,2012,4,0,0,1MICROSOFT CORP,1,Microsoft,2011-10-01,2012-04-01,NA,FALSE,FALSE,FALSE,FALSE
2011,8,2012,4,0,0,3APPLE INC 1,1,Apple,2011-08-01,2012-04-01,NA,FALSE,FALSE,FALSE,FALSE
2011,8,2013,5,0,0,3APPLE INC 1,1,Apple,2011-08-01,2013-05-01,NA,FALSE,FALSE,FALSE,FALSE
2010,11,2011,9,0,0,4MICROSOFT CORP 1,1,Microsoft,2010-11-01,2011-09-01,NA,FALSE,FALSE,FALSE,FALSE
2010,11,2011,5,0,0,4MICROSOFT CORP 1,1,Microsoft,2010-11-01,2011-05-01,NA,FALSE,FALSE,FALSE,FALSE
2011,4,2014,2,2014,2,ALPHABET 1 LLC M,1,Google/Alphabet,2011-04-01,2014-02-01,2014-02-01,FALSE,FALSE,FALSE,FALSE
2011,4,2012,11,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2011-04-01,2012-11-01,NA,FALSE,FALSE,FALSE,FALSE
2013,3,2013,9,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2013-03-01,2013-09-01,NA,FALSE,FALSE,FALSE,FALSE
2014,1,2014,7,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2014-01-01,2014-07-01,NA,FALSE,FALSE,FALSE,FALSE
2014,1,2016,5,2016,5,ALPHABET 1 LLC M,1,Google/Alphabet,2014-01-01,2016-05-01,2016-05-01,FALSE,FALSE,FALSE,FALSE
2014,1,2014,5,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2014-01-01,2014-05-01,NA,FALSE,FALSE,FALSE,FALSE
2014,5,2016,3,0,0,ALPHABET 1 LLC M,1,Google/Alphabet,2014-05-01,2016-03-01,NA,FALSE,FALSE,FALSE,FALSE
2014,5,2015,8,0,0,ALPHABET 2 L L C M,1,Google/Alphabet,2014-05-01,2015-08-01,NA,FALSE,FALSE,FALSE,FALSE
2014,5,2014,11,0,0,ALPHABET 2 L L C M,2,Google/Alphabet,2014-05-01,2014-11-01,NA,FALSE,FALSE,FALSE,FALSE
2015,4,2015,8,0,0,ALPHABET 2 L L C M,1,Google/Alphabet,2015-04-01,2015-08-01,NA,FALSE,FALSE,FALSE,FALSE
2014,3,2016,2,0,0,ALPHABET 3 L L C M,1,Google/Alphabet,2014-03-01,2016-02-01,NA,FALSE,FALSE,FALSE,FALSE
2014,3,2014,9,0,0,ALPHABET 3 L L C M,2,Google/Alphabet,2014-03-01,2014-09-01,NA,FALSE,FALSE,FALSE,FALSE
2014,3,2016,8,0,0,ALPHABET 3 LLC M,1,Google/Alphabet,2014-03-01,2016-08-01,NA,FALSE,FALSE,FALSE,FALSE
2014,3,2016,1,0,0,ALPHABET 3 LLC M,1,Google/Alphabet,2014-03-01,2016-01-01,NA,FALSE,FALSE,FALSE,FALSE
2024,2,2024,8,0,0,ALPHABET INC,1,Google/Alphabet,2024-02-01,2024-08-01,NA,FALSE,FALSE,FALSE,FALSE
2011,2,2013,10,2013,10,ALPHABET LLC M,1,Google/Alphabet,2011-02-01,2013-10-01,2013-10-01,FALSE,FALSE,FALSE,FALSE
2013,9,2014,1,0,0,ALPHABET LLC M,1,Google/Alphabet,2013-09-01,2014-01-01,NA,FALSE,FALSE,FALSE,FALSE
2010,2,2011,9,2011,9,AMAZON COM INC,1,Amazon,2010-02-01,2011-09-01,2011-09-01,FALSE,FALSE,FALSE,FALSE
2010,2,2012,10,2012,10,AMAZON COM INC,1,Amazon,2010-02-01,2012-10-01,2012-10-01,FALSE,FALSE,FALSE,FALSE
2010,2,2010,7,0,0,AMAZON COM INC,1,Amazon,2010-02-01,2010-07-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2012,3,2012,3,AMAZON COM INC,1,Amazon,2010-03-01,2012-03-01,2012-03-01,FALSE,FALSE,FALSE,FALSE
2010,7,2012,2,0,0,AMAZON COM INC,2,Amazon,2010-07-01,2012-02-01,NA,FALSE,FALSE,FALSE,FALSE
2010,8,2010,12,0,0,AMAZON COM INC,1,Amazon,2010-08-01,2010-12-01,NA,FALSE,FALSE,FALSE,FALSE
2010,8,2014,4,2014,4,AMAZON COM INC,1,Amazon,2010-08-01,2014-04-01,2014-04-01,FALSE,FALSE,FALSE,FALSE
2010,8,2011,1,0,0,AMAZON COM INC,1,Amazon,2010-08-01,2011-01-01,NA,FALSE,FALSE,FALSE,FALSE
2010,11,2012,5,2012,5,AMAZON COM INC,1,Amazon,2010-11-01,2012-05-01,2012-05-01,FALSE,FALSE,FALSE,FALSE
2010,12,2012,7,2012,7,AMAZON COM INC,1,Amazon,2010-12-01,2012-07-01,2012-07-01,FALSE,FALSE,FALSE,FALSE
2011,1,2012,4,2012,4,AMAZON COM INC,1,Amazon,2011-01-01,2012-04-01,2012-04-01,FALSE,FALSE,FALSE,FALSE
2011,2,2011,3,0,0,AMAZON COM INC,1,Amazon,2011-02-01,2011-03-01,NA,FALSE,FALSE,FALSE,FALSE
2011,3,2012,8,2012,8,AMAZON COM INC,1,Amazon,2011-03-01,2012-08-01,2012-08-01,FALSE,FALSE,FALSE,FALSE
2011,4,2011,9,0,0,AMAZON COM INC,1,Amazon,2011-04-01,2011-09-01,NA,FALSE,FALSE,FALSE,FALSE
2011,5,2011,8,0,0,AMAZON COM INC,1,Amazon,2011-05-01,2011-08-01,NA,FALSE,FALSE,FALSE,FALSE
2011,5,2012,7,2012,7,AMAZON COM INC,1,Amazon,2011-05-01,2012-07-01,2012-07-01,FALSE,FALSE,FALSE,FALSE
2011,6,2014,5,2014,5,AMAZON COM INC,1,Amazon,2011-06-01,2014-05-01,2014-05-01,FALSE,FALSE,FALSE,FALSE
2011,6,2013,3,2013,3,AMAZON COM INC,1,Amazon,2011-06-01,2013-03-01,2013-03-01,FALSE,FALSE,FALSE,FALSE
2011,8,2013,3,0,0,AMAZON COM INC,1,Amazon,2011-08-01,2013-03-01,NA,FALSE,FALSE,FALSE,FALSE
2011,8,2012,3,2012,3,AMAZON COM INC,1,Amazon,2011-08-01,2012-03-01,2012-03-01,FALSE,FALSE,FALSE,FALSE
2011,9,2012,4,2012,4,AMAZON COM INC,1,Amazon,2011-09-01,2012-04-01,2012-04-01,FALSE,FALSE,FALSE,FALSE
2012,1,2013,10,2013,10,AMAZON COM INC,1,Amazon,2012-01-01,2013-10-01,2013-10-01,FALSE,FALSE,FALSE,FALSE
2012,1,2012,5,0,0,AMAZON COM INC,1,Amazon,2012-01-01,2012-05-01,NA,FALSE,FALSE,FALSE,FALSE
2012,1,2016,4,2016,4,AMAZON COM INC,1,Amazon,2012-01-01,2016-04-01,2016-04-01,FALSE,FALSE,FALSE,FALSE
2012,2,2013,10,2013,10,AMAZON COM INC,1,Amazon,2012-02-01,2013-10-01,2013-10-01,FALSE,FALSE,FALSE,FALSE
2012,3,2013,1,2013,1,AMAZON COM INC,1,Amazon,2012-03-01,2013-01-01,2013-01-01,FALSE,FALSE,FALSE,FALSE
2012,6,2013,4,2013,4,AMAZON COM INC,1,Amazon,2012-06-01,2013-04-01,2013-04-01,FALSE,FALSE,FALSE,FALSE
2012,8,2013,6,2013,6,AMAZON COM INC,1,Amazon,2012-08-01,2013-06-01,2013-06-01,FALSE,FALSE,FALSE,FALSE
2012,12,2014,1,2014,1,AMAZON COM INC,1,Amazon,2012-12-01,2014-01-01,2014-01-01,FALSE,FALSE,FALSE,FALSE
2012,12,2013,7,0,0,AMAZON COM INC,1,Amazon,2012-12-01,2013-07-01,NA,FALSE,FALSE,FALSE,FALSE
2013,3,2013,8,0,0,AMAZON COM INC,1,Amazon,2013-03-01,2013-08-01,NA,FALSE,FALSE,FALSE,FALSE
2013,3,2013,12,2013,12,AMAZON COM INC,1,Amazon,2013-03-01,2013-12-01,2013-12-01,FALSE,FALSE,FALSE,FALSE
2013,5,2013,9,0,0,AMAZON COM INC,1,Amazon,2013-05-01,2013-09-01,NA,FALSE,FALSE,FALSE,FALSE
2013,9,2014,1,0,0,AMAZON COM INC,1,Amazon,2013-09-01,2014-01-01,NA,FALSE,FALSE,FALSE,FALSE
2013,9,2015,7,2015,7,AMAZON COM INC,1,Amazon,2013-09-01,2015-07-01,2015-07-01,FALSE,FALSE,FALSE,FALSE
2013,10,2014,3,0,0,AMAZON COM INC,1,Amazon,2013-10-01,2014-03-01,NA,FALSE,FALSE,FALSE,FALSE
2013,12,2014,4,0,0,AMAZON COM INC,2,Amazon,2013-12-01,2014-04-01,NA,FALSE,FALSE,FALSE,FALSE
2014,2,2014,6,0,0,AMAZON COM INC,2,Amazon,2014-02-01,2014-06-01,NA,FALSE,FALSE,FALSE,FALSE
2014,4,2017,8,2017,8,AMAZON COM INC,1,Amazon,2014-04-01,2017-08-01,2017-08-01,FALSE,FALSE,FALSE,FALSE
2014,4,2014,8,0,0,AMAZON COM INC,1,Amazon,2014-04-01,2014-08-01,NA,FALSE,FALSE,FALSE,FALSE
2024,2,2024,8,0,0,AMAZON COM SERVICES LLC,1,Amazon,2024-02-01,2024-08-01,NA,FALSE,FALSE,FALSE,FALSE
2024,2,2025,12,0,0,AMAZON COM SERVICES LLC,1,Amazon,2024-02-01,2025-12-01,NA,FALSE,FALSE,FALSE,FALSE
2024,7,2025,1,0,0,AMAZON COM SERVICES LLC,1,Amazon,2024-07-01,2025-01-01,NA,FALSE,FALSE,FALSE,FALSE
2024,11,2025,5,0,0,AMAZON COM SERVICES LLC,1,Amazon,2024-11-01,2025-05-01,NA,FALSE,FALSE,FALSE,FALSE
2010,10,2017,8,2017,8,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2010-10-01,2017-08-01,2017-08-01,FALSE,FALSE,FALSE,FALSE
2011,6,2018,8,2018,8,AMAZON EUROPE HOLDING TECH SCS,2,Amazon,2011-06-01,2018-08-01,2018-08-01,FALSE,FALSE,FALSE,FALSE
2012,8,2017,10,2017,10,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2012-08-01,2017-10-01,2017-10-01,FALSE,FALSE,FALSE,FALSE
2012,10,2018,3,2018,3,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2012-10-01,2018-03-01,2018-03-01,FALSE,FALSE,FALSE,FALSE
2012,10,2019,4,2019,4,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2012-10-01,2019-04-01,2019-04-01,FALSE,FALSE,FALSE,FALSE
2012,12,2019,3,2019,3,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2012-12-01,2019-03-01,2019-03-01,FALSE,FALSE,FALSE,FALSE
2013,6,2018,9,2018,9,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2013-06-01,2018-09-01,2018-09-01,FALSE,FALSE,FALSE,FALSE
2013,11,2020,10,2020,10,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2013-11-01,2020-10-01,2020-10-01,FALSE,FALSE,FALSE,FALSE
2013,11,2018,4,2018,4,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2013-11-01,2018-04-01,2018-04-01,FALSE,FALSE,FALSE,FALSE
2013,12,2021,12,2021,12,AMAZON EUROPE HOLDING TECH SCS,1,Amazon,2013-12-01,2021-12-01,2021-12-01,FALSE,FALSE,FALSE,FALSE
2013,6,2016,11,2016,11,AMAZON EUROPE HOLDINGS TECH SCS,1,Amazon,2013-06-01,2016-11-01,2016-11-01,FALSE,FALSE,FALSE,FALSE
2014,5,2022,4,0,0,AMAZON SCIENCE AND TECH COMPANY,1,Amazon,2014-05-01,2022-04-01,NA,FALSE,FALSE,FALSE,FALSE
2017,2,2022,5,0,0,AMAZON SCIENCE AND TECH COMPANY,1,Amazon,2017-02-01,2022-05-01,NA,FALSE,FALSE,FALSE,FALSE
2020,9,2022,5,0,0,AMAZON SCIENCE AND TECH COMPANY,3,Amazon,2020-09-01,2022-05-01,NA,FALSE,FALSE,FALSE,FALSE
2020,9,2022,4,0,0,AMAZON SCIENCE AND TECH COMPANY,1,Amazon,2020-09-01,2022-04-01,NA,FALSE,FALSE,FALSE,FALSE
2016,8,2020,6,2020,6,AMAZON TCHNOLOGIES INC,1,Amazon,2016-08-01,2020-06-01,2020-06-01,FALSE,FALSE,FALSE,FALSE
2014,3,2018,6,2018,6,AMAZON TECH,1,Amazon,2014-03-01,2018-06-01,2018-06-01,FALSE,FALSE,FALSE,FALSE
2014,3,2016,10,2016,10,AMAZON TECH,1,Amazon,2014-03-01,2016-10-01,2016-10-01,FALSE,FALSE,FALSE,FALSE
2014,12,2017,5,2017,5,AMAZON TECH,1,Amazon,2014-12-01,2017-05-01,2017-05-01,FALSE,FALSE,FALSE,FALSE
2016,3,2020,11,2020,11,AMAZON TECH,1,Amazon,2016-03-01,2020-11-01,2020-11-01,FALSE,FALSE,FALSE,FALSE
2016,4,2020,3,2020,3,AMAZON TECH,1,Amazon,2016-04-01,2020-03-01,2020-03-01,FALSE,FALSE,FALSE,FALSE
2016,9,2019,3,2019,3,AMAZON TECH,1,Amazon,2016-09-01,2019-03-01,2019-03-01,FALSE,FALSE,FALSE,FALSE
2016,12,2017,1,0,0,AMAZON TECH,3,Amazon,2016-12-01,2017-01-01,NA,FALSE,FALSE,FALSE,FALSE
2017,3,2019,10,2019,10,AMAZON TECH,1,Amazon,2017-03-01,2019-10-01,2019-10-01,FALSE,FALSE,FALSE,FALSE
2017,7,2017,9,0,0,AMAZON TECH,4,Amazon,2017-07-01,2017-09-01,NA,FALSE,FALSE,FALSE,FALSE
2017,8,2019,7,2019,7,AMAZON TECH,1,Amazon,2017-08-01,2019-07-01,2019-07-01,FALSE,FALSE,FALSE,FALSE
2018,12,2020,3,2020,3,AMAZON TECH,1,Amazon,2018-12-01,2020-03-01,2020-03-01,FALSE,FALSE,FALSE,FALSE
2021,4,2022,8,2022,8,AMAZON TECH,1,Amazon,2021-04-01,2022-08-01,2022-08-01,FALSE,FALSE,FALSE,FALSE
2023,7,2025,8,2025,8,AMAZON TECH,1,Amazon,2023-07-01,2025-08-01,2025-08-01,FALSE,FALSE,FALSE,FALSE
2023,11,2024,12,2024,12,AMAZON TECH,1,Amazon,2023-11-01,2024-12-01,2024-12-01,FALSE,FALSE,FALSE,FALSE
2025,3,2025,10,0,0,AMAZON TECH,1,Amazon,2025-03-01,2025-10-01,NA,FALSE,FALSE,FALSE,FALSE
2012,9,2017,8,0,0,AMAZON TECH CO LTD,1,Amazon,2012-09-01,2017-08-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2016,11,2016,11,AMAZON TECH INC,1,Amazon,2010-01-01,2016-11-01,2016-11-01,FALSE,FALSE,FALSE,FALSE
2010,1,2016,3,0,0,AMAZON TECH INC,1,Amazon,2010-01-01,2016-03-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2017,3,2017,3,AMAZON TECH INC,1,Amazon,2010-01-01,2017-03-01,2017-03-01,FALSE,FALSE,FALSE,FALSE
2010,1,2016,6,0,0,AMAZON TECH INC,1,Amazon,2010-01-01,2016-06-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2011,9,0,0,AMAZON TECH INC,1,Amazon,2010-01-01,2011-09-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2014,5,2014,5,AMAZON TECH INC,1,Amazon,2010-01-01,2014-05-01,2014-05-01,FALSE,FALSE,FALSE,FALSE
2010,1,2014,9,0,0,AMAZON TECH INC,1,Amazon,2010-01-01,2014-09-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2012,2,2012,2,AMAZON TECH INC,1,Amazon,2010-01-01,2012-02-01,2012-02-01,FALSE,FALSE,FALSE,FALSE
2010,1,2012,9,2012,9,AMAZON TECH INC,1,Amazon,2010-01-01,2012-09-01,2012-09-01,FALSE,FALSE,FALSE,FALSE
2010,1,2010,8,0,0,AMAZON TECH INC,2,Amazon,2010-01-01,2010-08-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2011,11,0,0,AMAZON TECH INC,1,Amazon,2010-01-01,2011-11-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2014,1,2014,1,AMAZON TECH INC,1,Amazon,2010-01-01,2014-01-01,2014-01-01,FALSE,FALSE,FALSE,FALSE
2010,1,2015,11,2015,11,AMAZON TECH INC,1,Amazon,2010-01-01,2015-11-01,2015-11-01,FALSE,FALSE,FALSE,FALSE
2010,1,2014,12,2014,12,AMAZON TECH INC,1,Amazon,2010-01-01,2014-12-01,2014-12-01,FALSE,FALSE,FALSE,FALSE
2010,1,2010,7,0,0,AMAZON TECH INC,4,Amazon,2010-01-01,2010-07-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2013,7,2013,7,AMAZON TECH INC,1,Amazon,2010-01-01,2013-07-01,2013-07-01,FALSE,FALSE,FALSE,FALSE
2010,1,2015,4,2015,4,AMAZON TECH INC,1,Amazon,2010-01-01,2015-04-01,2015-04-01,FALSE,FALSE,FALSE,FALSE
2010,1,2011,10,0,0,AMAZON TECH INC,3,Amazon,2010-01-01,2011-10-01,NA,FALSE,FALSE,FALSE,FALSE
2010,1,2013,1,2013,1,AMAZON TECH INC,3,Amazon,2010-01-01,2013-01-01,2013-01-01,FALSE,FALSE,FALSE,FALSE
2010,1,2013,4,2013,4,AMAZON TECH INC,2,Amazon,2010-01-01,2013-04-01,2013-04-01,FALSE,FALSE,FALSE,FALSE
2010,1,2019,12,2019,12,AMAZON TECH INC,1,Amazon,2010-01-01,2019-12-01,2019-12-01,FALSE,FALSE,FALSE,FALSE
2010,1,2014,4,2014,4,AMAZON TECH INC,1,Amazon,2010-01-01,2014-04-01,2014-04-01,FALSE,FALSE,FALSE,FALSE
2010,2,2011,10,2011,10,AMAZON TECH INC,1,Amazon,2010-02-01,2011-10-01,2011-10-01,FALSE,FALSE,FALSE,FALSE
2010,2,2017,2,2017,2,AMAZON TECH INC,1,Amazon,2010-02-01,2017-02-01,2017-02-01,FALSE,FALSE,FALSE,FALSE
2010,2,2011,8,0,0,AMAZON TECH INC,1,Amazon,2010-02-01,2011-08-01,NA,FALSE,FALSE,FALSE,FALSE
2010,2,2014,1,2014,1,AMAZON TECH INC,1,Amazon,2010-02-01,2014-01-01,2014-01-01,FALSE,FALSE,FALSE,FALSE
2010,2,2020,7,2020,7,AMAZON TECH INC,1,Amazon,2010-02-01,2020-07-01,2020-07-01,FALSE,FALSE,FALSE,FALSE
2010,2,2017,11,2017,11,AMAZON TECH INC,1,Amazon,2010-02-01,2017-11-01,2017-11-01,FALSE,FALSE,FALSE,FALSE
2010,2,2014,4,2014,4,AMAZON TECH INC,1,Amazon,2010-02-01,2014-04-01,2014-04-01,FALSE,FALSE,FALSE,FALSE
2010,2,2014,12,2014,12,AMAZON TECH INC,1,Amazon,2010-02-01,2014-12-01,2014-12-01,FALSE,FALSE,FALSE,FALSE
2010,2,2013,11,2013,11,AMAZON TECH INC,2,Amazon,2010-02-01,2013-11-01,2013-11-01,FALSE,FALSE,FALSE,FALSE
2010,2,2015,2,2015,2,AMAZON TECH INC,1,Amazon,2010-02-01,2015-02-01,2015-02-01,FALSE,FALSE,FALSE,FALSE
2010,2,2012,2,2012,2,AMAZON TECH INC,1,Amazon,2010-02-01,2012-02-01,2012-02-01,FALSE,FALSE,FALSE,FALSE
2010,2,2012,5,2012,5,AMAZON TECH INC,1,Amazon,2010-02-01,2012-05-01,2012-05-01,FALSE,FALSE,FALSE,FALSE
2010,2,2011,9,2011,9,AMAZON TECH INC,2,Amazon,2010-02-01,2011-09-01,2011-09-01,FALSE,FALSE,FALSE,FALSE
2010,2,2013,6,2013,6,AMAZON TECH INC,1,Amazon,2010-02-01,2013-06-01,2013-06-01,FALSE,FALSE,FALSE,FALSE
2010,2,2017,12,2017,12,AMAZON TECH INC,1,Amazon,2010-02-01,2017-12-01,2017-12-01,FALSE,FALSE,FALSE,FALSE
2010,2,2011,3,2011,3,AMAZON TECH INC,2,Amazon,2010-02-01,2011-03-01,2011-03-01,FALSE,FALSE,FALSE,FALSE
2010,2,2010,12,2010,12,AMAZON TECH INC,1,Amazon,2010-02-01,2010-12-01,2010-12-01,FALSE,FALSE,FALSE,FALSE
2010,2,2017,10,2017,10,AMAZON TECH INC,1,Amazon,2010-02-01,2017-10-01,2017-10-01,FALSE,FALSE,FALSE,FALSE
2010,2,2013,2,2013,2,AMAZON TECH INC,1,Amazon,2010-02-01,2013-02-01,2013-02-01,FALSE,FALSE,FALSE,FALSE
2010,2,2015,4,2015,4,AMAZON TECH INC,1,Amazon,2010-02-01,2015-04-01,2015-04-01,FALSE,FALSE,FALSE,FALSE
2010,2,2012,12,2012,12,AMAZON TECH INC,2,Amazon,2010-02-01,2012-12-01,2012-12-01,FALSE,FALSE,FALSE,FALSE
2010,2,2012,8,2012,8,AMAZON TECH INC,1,Amazon,2010-02-01,2012-08-01,2012-08-01,FALSE,FALSE,FALSE,FALSE
2010,2,2014,5,0,0,AMAZON TECH INC,1,Amazon,2010-02-01,2014-05-01,NA,FALSE,FALSE,FALSE,FALSE
2010,2,2010,4,0,0,AMAZON TECH INC,1,Amazon,2010-02-01,2010-04-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2012,3,0,0,AMAZON TECH INC,2,Amazon,2010-03-01,2012-03-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2014,7,2014,7,AMAZON TECH INC,2,Amazon,2010-03-01,2014-07-01,2014-07-01,FALSE,FALSE,FALSE,FALSE
2010,3,2018,2,2018,2,AMAZON TECH INC,2,Amazon,2010-03-01,2018-02-01,2018-02-01,FALSE,FALSE,FALSE,FALSE
2010,3,2020,6,2020,6,AMAZON TECH INC,1,Amazon,2010-03-01,2020-06-01,2020-06-01,FALSE,FALSE,FALSE,FALSE
2010,3,2020,6,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2020-06-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2017,6,2017,6,AMAZON TECH INC,1,Amazon,2010-03-01,2017-06-01,2017-06-01,FALSE,FALSE,FALSE,FALSE
2010,3,2011,3,2011,3,AMAZON TECH INC,1,Amazon,2010-03-01,2011-03-01,2011-03-01,FALSE,FALSE,FALSE,FALSE
2010,3,2017,10,2017,10,AMAZON TECH INC,1,Amazon,2010-03-01,2017-10-01,2017-10-01,FALSE,FALSE,FALSE,FALSE
2010,3,2013,8,2013,8,AMAZON TECH INC,3,Amazon,2010-03-01,2013-08-01,2013-08-01,FALSE,FALSE,FALSE,FALSE
2010,3,2015,7,2015,7,AMAZON TECH INC,1,Amazon,2010-03-01,2015-07-01,2015-07-01,FALSE,FALSE,FALSE,FALSE
2010,3,2020,5,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2020-05-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2016,4,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2016-04-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2015,12,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2015-12-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2013,12,2013,12,AMAZON TECH INC,2,Amazon,2010-03-01,2013-12-01,2013-12-01,FALSE,FALSE,FALSE,FALSE
2010,3,2012,10,2012,10,AMAZON TECH INC,3,Amazon,2010-03-01,2012-10-01,2012-10-01,FALSE,FALSE,FALSE,FALSE
2010,3,2013,3,2013,3,AMAZON TECH INC,2,Amazon,2010-03-01,2013-03-01,2013-03-01,FALSE,FALSE,FALSE,FALSE
2010,3,2017,4,2017,4,AMAZON TECH INC,1,Amazon,2010-03-01,2017-04-01,2017-04-01,FALSE,FALSE,FALSE,FALSE
2010,3,2012,6,2012,6,AMAZON TECH INC,1,Amazon,2010-03-01,2012-06-01,2012-06-01,FALSE,FALSE,FALSE,FALSE
2010,3,2014,1,2014,1,AMAZON TECH INC,1,Amazon,2010-03-01,2014-01-01,2014-01-01,FALSE,FALSE,FALSE,FALSE
2010,3,2020,10,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2020-10-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2012,1,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2012-01-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2018,12,2018,12,AMAZON TECH INC,1,Amazon,2010-03-01,2018-12-01,2018-12-01,FALSE,FALSE,FALSE,FALSE
2010,3,2014,8,2014,8,AMAZON TECH INC,3,Amazon,2010-03-01,2014-08-01,2014-08-01,FALSE,FALSE,FALSE,FALSE
2010,3,2012,11,2012,11,AMAZON TECH INC,1,Amazon,2010-03-01,2012-11-01,2012-11-01,FALSE,FALSE,FALSE,FALSE
2010,3,2019,3,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2019-03-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2016,3,2016,3,AMAZON TECH INC,1,Amazon,2010-03-01,2016-03-01,2016-03-01,FALSE,FALSE,FALSE,FALSE
2010,3,2013,4,2013,4,AMAZON TECH INC,3,Amazon,2010-03-01,2013-04-01,2013-04-01,FALSE,FALSE,FALSE,FALSE
2010,3,2014,6,2014,6,AMAZON TECH INC,5,Amazon,2010-03-01,2014-06-01,2014-06-01,FALSE,FALSE,FALSE,FALSE
2010,3,2018,1,2018,1,AMAZON TECH INC,1,Amazon,2010-03-01,2018-01-01,2018-01-01,FALSE,FALSE,FALSE,FALSE
2010,3,2015,3,2015,3,AMAZON TECH INC,1,Amazon,2010-03-01,2015-03-01,2015-03-01,FALSE,FALSE,FALSE,FALSE
2010,3,2014,10,2014,10,AMAZON TECH INC,1,Amazon,2010-03-01,2014-10-01,2014-10-01,FALSE,FALSE,FALSE,FALSE
2010,3,2011,11,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2011-11-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2013,10,2013,10,AMAZON TECH INC,3,Amazon,2010-03-01,2013-10-01,2013-10-01,FALSE,FALSE,FALSE,FALSE
2010,3,2015,9,2015,9,AMAZON TECH INC,1,Amazon,2010-03-01,2015-09-01,2015-09-01,FALSE,FALSE,FALSE,FALSE
2010,3,2014,5,2014,5,AMAZON TECH INC,2,Amazon,2010-03-01,2014-05-01,2014-05-01,FALSE,FALSE,FALSE,FALSE
2010,3,2016,10,2016,10,AMAZON TECH INC,1,Amazon,2010-03-01,2016-10-01,2016-10-01,FALSE,FALSE,FALSE,FALSE
2010,3,2013,9,2013,9,AMAZON TECH INC,1,Amazon,2010-03-01,2013-09-01,2013-09-01,FALSE,FALSE,FALSE,FALSE
2010,3,2015,2,2015,2,AMAZON TECH INC,2,Amazon,2010-03-01,2015-02-01,2015-02-01,FALSE,FALSE,FALSE,FALSE
2010,3,2012,2,0,0,AMAZON TECH INC,2,Amazon,2010-03-01,2012-02-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2012,10,0,0,AMAZON TECH INC,1,Amazon,2010-03-01,2012-10-01,NA,FALSE,FALSE,FALSE,FALSE
2010,3,2017,1,2017,1,AMAZON TECH INC,1,Amazon,2010-03-01,2017-01-01,2017-01-01,FALSE,FALSE,FALSE,FALSE
2010,3,2019,12,2019,12,AMAZON TECH INC,1,Amazon,2010-03-01,2019-12-01,2019-12-01,FALSE,FALSE,FALSE,FALSE
